""," (1) "," (2) "," (3) ","F-test for balance","(1)-(2)"
"","0","1","Total","across all groups","Pairwise t-test"
"Variable","Mean/SE","Mean/SE","Mean/SE","F-stat/P-value","Mean difference"
"weight"," 3084.516"," 2972.558"," 3019.459","    3.353","  111.958"
"","   98.439","  209.010","  107.435","    0.164",""
"price"," 5961.065"," 6312.465"," 6165.257","    1.695"," -351.401"
"","  125.692","  917.571","  451.828","    0.284",""
"F-test of joint significance (F-stat)","","","","","    1.128"
"Number of observations","31","43","74","74","74"
"Number of clusters","2","2","4","4","4"
"If the table includes missing values (.n, .o, .v etc.) see the Missing values section in the help file for the Stata command iebaltab for definitions of these values. Covariate(s) used in pairwise and f-test regressions: [mpg]. Fixed effect used in pairwise and f-test regressions: [foreign]. Significance: ***=.01, **=.05, *=.1. Errors are clustered at variable: [test_cluster_var]. Full user input as written by user: [iebaltab weight price , savecsv(""C:/Users/wb462869/GitHub/ietoolkit/run/output/iebaltab/iebt-csv12"") savexlsx(""C:/Users/wb462869/GitHub/ietoolkit/run/output/iebaltab/iebt-xlsx12"") savetex(""C:/Users/wb462869/GitHub/ietoolkit/run/output/iebaltab/iebt-tex12"") texnotefile(""C:/Users/wb462869/GitHub/ietoolkit/run/output/iebaltab/iebt-tex12-note"") grpvar(tmt_cl) replace onerow vce(cluster test_cluster_var) ftest feqtest total cov(mpg) fixed(foreign) tbladdnote(""added onerow and cluster"")] added onerow and cluster","","","","",""
