"",""," (1) ",""," (2) ","","(1)-(2)"
"","","Control","","Treatment","","Pairwise t-test"
"Variable","N","Mean/(SE)","N","Mean/(SE)","N","Mean difference"
"mpg","31","20.258","43","22.047","74","-1.788"
"","","(0.759)","","(1.012)","",""
"trunk","31","14.097","43","13.512","74","0.585"
"","","(0.793)","","(0.642)","",""
"weight","31","3084.516","43","2972.558","74","111.958"
"","","(117.753)","","(130.959)","",""
"turn","31","40.226","43","39.233","74","0.993"
"","","(0.664)","","(0.739)","",""
"price","31","5961.065","43","6312.465","74","-351.401"
"","","(470.476)","","(486.238)","",""
