"",""," (1) ",""," (2) ",""," (3) ","","F-test for balance","","(1)-(2)"
"","","0","","1","","Total","","across all groups","","Pairwise t-test"
"Variable","N/Clusters","Mean/SE","N/Clusters","Mean/SE","N/Clusters","Mean/SE","N/Clusters","F-stat/P-value","N/Clusters","Mean difference"
"weight","31"," 3084.516","43"," 2972.558","74"," 3019.459","74","    3.353","74","  111.958"
"","2","   98.439","2","  209.010","4","  107.435","4","    0.164","4",""
"price","31"," 5961.065","43"," 6312.465","74"," 6165.257","74","    1.695","74"," -351.401"
"","2","  125.692","2","  917.571","4","  451.828","4","    0.284","4",""
"F-test of joint significance (F-stat)","","","","","","","","","","    1.128"
"F-test, number of observations","","","","","","","","","","74"
"F-test, number of clusters","","","","","","","","","","4"
"If the table includes missing values (.n, .o, .v etc.) see the Missing values section in the help file for the Stata command iebaltab for definitions of these values. Covariate(s) used in pairwise and f-test regressions: [mpg]. Fixed effect used in pairwise and f-test regressions: [foreign]. Significance: ***=.01, **=.05, *=.1. Errors are clustered at variable: [test_cluster_var]. Full user input as written by user: [iebaltab weight price , savecsv(""C:/Users/wb462869/GitHub/ietoolkit/run/output/iebaltab/iebt-csv10"") savexlsx(""C:/Users/wb462869/GitHub/ietoolkit/run/output/iebaltab/iebt-xlsx10"") savetex(""C:/Users/wb462869/GitHub/ietoolkit/run/output/iebaltab/iebt-tex10"") texnotefile(""C:/Users/wb462869/GitHub/ietoolkit/run/output/iebaltab/iebt-tex10-note"") grpvar(tmt_cl) replace vce(cluster test_cluster_var) ftest feqtest total cov(mpg) fixed(foreign) tbladdnote(""added cluster"")] added cluster","","","","","","","","","",""
