"",""," (1) ",""," (2) ","","(1)-(2)"
"","","0","","1","","Pairwise t-test"
"Variable","N","Mean/(SE)","N","Mean/(SE)","N","P-value"
"mpg","31","20.258","43","20.092","74","0.895"
"","","(0.759)","","(0.910)","",""
"trunk","31","14.097","43","12.150","74","0.051"
"","","(0.793)","","(0.606)","",""
"weight","31","3084.516","43","2671.920","74","0.016"
"","","(117.753)","","(113.337)","",""
"turn","31","40.226","43","34.994","74","0.000"
"","","(0.664)","","(0.731)","",""
"price","31","5961.065","43","5604.701","74","0.595"
"","","(470.476)","","(453.973)","",""
"If the table includes missing values (.n, .o, .v etc.) see the Missing values section in the help file for the Stata command iebaltab for definitions of these values. Full user input as written by user: [iebaltab mpg trunk weight turn price , savecsv(""C:/Users/wb462869/GitHub/ietoolkit/run/output/iebaltab/iebt-csv23a"") savexlsx(""C:/Users/wb462869/GitHub/ietoolkit/run/output/iebaltab/iebt-xlsx23a"") savetex(""C:/Users/wb462869/GitHub/ietoolkit/run/output/iebaltab/iebt-tex23a"") texnotefile(""C:/Users/wb462869/GitHub/ietoolkit/run/output/iebaltab/iebt-tex23a-note"") grpvar(tmt_cl) grpcodes replace starsnoadd stats(pair(p)) tbladdnote(""Added note."")] Added note.","","","","","",""
