Number of observations:,74
ID variable(s):,make
Data signature:,74:16(110350):932916212:1889387683
Last saved by:,wb501238
Last at:,23:44:44 31 Jul 2022

Variable type: String
Name,Label,Type,Complete observations,Number of levels
make,Make and Model,str17,74, 74

Variable type: Continuous
Name,Label,Type,Complete observations,Mean,SD,p0,p25,p50,p75,p100
price,Price,int,74,6165.256756756757,2949.495884768919,3291,4195,5006.5,6342,15906
mpg,Mileage (mpg),byte,74,21.2972972972973,5.785503209735141,12,18,20,25,41
rep78,Repair Record 1978,byte,69,3.405797101449275,.9899322701090411,1,3,3,4,5
headroom,Headroom (in.),float,74,2.993243243243243,.8459947668287706,1.5,2.5,3,3.5,5
trunk,Trunk space (cu. ft.),byte,74,13.75675675675676,4.277404189173203,5,10,14,17,23
weight,Weight (lbs.),int,74,3019.45945945946,777.1935671373662,1760,2240,3190,3600,4840
length,Length (in.),int,74,187.9324324324324,22.26633990202158,142,170,192.5,204,233
turn,Turn Circle (ft.) ,byte,74,39.64864864864865,4.399353727233913,31,36,40,43,51
displacement,Displacement (cu. in.),int,74,197.2972972972973,91.83721896440397,79,119,196,250,425
gear_ratio,Gear Ratio,float,74,3.014864866797988,.4562870967076303,2.190000057220459,2.730000019073486,2.955000042915344,3.369999885559082,3.890000104904175
day,,float,74,15.69839745115589,9.142045845400267,1.236236810684204,7.424164772033691,14.43680381774902,24.42776298522949,29.36405944824219
month,,float,74,6.532538676584089,3.053062828319645,1.230261087417603,4.199848651885986,6.397584199905396,9.27304744720459,11.85327625274658
year,,float,74,2006.574415052259,8.383728129085801,1990.054809570313,1999.98876953125,2006.737243652344,2013.239624023438,2019.763305664063

Variable type: Date or date-time
Name,Label,Format,Complete observations,Unique values,Mean,SD,Min,Median,Max
date,,%td,74,74,16987.32432432432,3064.404588564298,10995,17108.5,21821

Variable type: Categorical
Name,Label,Value label,Complete observations,Number of levels,Number of unlabeled levels,Top count
foreign,Car type,origin,74,2,0,0:52 1:22

