"",""," (1) ",""," (2) ",""," (3) ",""," (4) ",""," (5) ","","F-test for balance","","(2)-(3)","","(2)-(4)","","(2)-(5)","","(3)-(4)","","(3)-(5)","","(4)-(5)"
"","","Total","","Oi in %","","control/unobserved","","taco & salsa","","10231","","across all groups","","Pairwise t-test","","Pairwise t-test","","Pairwise t-test","","Pairwise t-test","","Pairwise t-test","","Pairwise t-test"
"Variable","N","Mean/(SE)","N","Mean/(SE)","N","Mean/(SE)","N","Mean/(SE)","N","Mean/(SE)","N","F-stat/P-value","N","Mean difference","N","Mean difference","N","Mean difference","N","Mean difference","N","Mean difference","N","Mean difference"
"Weight (lbs.)","74","3019.459","22","3176.818","21","2758.571","19","3004.211","12","3211.667","74","1.936","43","418.247","41","172.608**","34","-34.848","40","-245.639","33","-453.095","31","-207.456"
"","","(90.347)","","(172.374)","","(191.277)","","(157.068)","","(177.127)","","0.132","","","","","","","","","","","",""
"Price","74","6165.257","22","7209.182","21","5373.048","19","5858.526","12","6123.417","74","1.101","43","1836.134","41","1350.656","34","1085.765","40","-485.479","33","-750.369","31","-264.890"
"","","(342.872)","","(776.498)","","(516.864)","","(605.744)","","(777.763)","","0.355","","","","","","","","","","","",""
"F-test of joint significance (F-stat)","","","","","","","","","","","","","","1.388","","2.807*","","0.828","","0.605","","0.012","","0.182"
"F-test, number of observations","","","","","","","","","","","","","","43","","41","","34","","40","","33","","31"
"If the table includes missing values (.n, .o, .v etc.) see the Missing values section in the help file for the Stata command iebaltab for definitions of these values. Covariate(s) used in pairwise and f-test regressions: [mpg]. Fixed effect used in pairwise and f-test regressions: [foreign]. Significance: ***=.01, **=.05, *=.1. Full user input as written by user: [iebaltab weight price , savecsv(""run/iebaltab/outputs/iebaltab1/iebt-csv6"") savexlsx(""run/iebaltab/outputs/iebaltab1/iebt-xlsx6"") savetex(""run/iebaltab/outputs/iebaltab1/iebt-tex6"") texnotefile(""run/iebaltab/outputs/iebaltab1/iebt-tex6-note"") groupvar(tmt) replace ftest feqtest total rowvarlabels cov(mpg) fixed(foreign) addnote(""Many groups, rowvarlabels"")] Many groups, rowvarlabels","","","","","","","","","","","","","","","","","","","","","","","",""
