"",""," (1) ",""," (2) ","","F-test for balance","","(2)-(1)"
"","","1","","0","","across all groups","","Pairwise t-test"
"Variable","N","Mean/(SE)","N","Mean/(SE)","N","F-stat/P-value","N","Mean difference"
"weight","43","2972.558","31","3084.516","74","2.679","74","111.958"
"","","(130.959)","","(117.753)","","0.106","",""
"price","43","6312.465","31","5961.065","74","0.928","74","-351.401"
"","","(486.238)","","(470.476)","","0.339","",""
"F-test of joint significance (F-stat)","","","","","","","","1.325"
"F-test, number of observations","","","","","","","","74"
"If the table includes missing values (.n, .o, .v etc.) see the Missing values section in the help file for the Stata command iebaltab for definitions of these values. Covariate(s) used in pairwise and f-test regressions: [mpg]. Fixed effect used in pairwise and f-test regressions: [foreign]. Significance: ***=.01, **=.05, *=.1. Full user input as written by user: [iebaltab weight price , savecsv(""run/iebaltab/outputs/iebaltab1/iebt-csv1"") savexlsx(""run/iebaltab/outputs/iebaltab1/iebt-xlsx1"") savetex(""run/iebaltab/outputs/iebaltab1/iebt-tex1"") texnotefile(""run/iebaltab/outputs/iebaltab1/iebt-tex1-note"") groupvar(tmt_cl) replace ftest feqtest control(1) cov(mpg) fixed(foreign)] ","","","","","","","",""
