"",""," (1) ",""," (2) ","","F-test for balance","","(1)-(2)"
"","","0","","1","","across all groups","","Pairwise t-test"
"Variable","N","Mean/(SE)","N","Mean/(SE)","N","F-stat/P-value","N","Mean difference"
"weight","31","3084.516","42","2980.476","71","2.681","71","104.040"
"","","(117.753)","","(133.869)","","0.106","",""
"price","31","5961.065","43","6312.465","72","0.742","72","-351.401"
"","","(470.476)","","(486.238)","","0.392","",""
"F-test of joint significance (F-stat)","","","","","","","","1.324"
"F-test, number of observations","","","","","","","","71"
"If the table includes missing values (.n, .o, .v etc.) see the Missing values section in the help file for the Stata command iebaltab for definitions of these values. Covariate(s) used in pairwise and f-test regressions: [mpg]. Fixed effect used in pairwise and f-test regressions: [foreign]. Significance: ***=.01, **=.05, *=.1. Full user input as written by user: [iebaltab weight price , savecsv(""run/iebaltab/outputs/iebaltab1/iebt-csv9"") savexlsx(""run/iebaltab/outputs/iebaltab1/iebt-xlsx9"") savetex(""run/iebaltab/outputs/iebaltab1/iebt-tex9"") texnotefile(""run/iebaltab/outputs/iebaltab1/iebt-tex9-note"") groupvar(tmt_cl) replace ftest feqtest cov(mpg) fixed(foreign) addnote(""Warning for missing value in fixedeffect(foreign) and in covariates(mpg)"")] Warning for missing value in fixedeffect(foreign) and in covariates(mpg)","","","","","","","",""
