""," (1) "," (2) "," (3) ","F-test for balance","(2)-(3)"
"","Total","0","1","across all groups","Pairwise t-test"
"Variable","Mean/(SE)","Mean/(SE)","Mean/(SE)","F-stat/P-value","Mean difference"
"weight","3019.459","3084.516","2972.558","3.353","111.958"
"","(107.435)","(98.439)","(209.010)","0.164",""
"price","6165.257","5961.065","6312.465","1.695","-351.401"
"","(451.828)","(125.692)","(917.571)","0.284",""
"F-test of joint significance (F-stat)","","","","","1.128"
"Number of observations","74","31","43","74","74"
"Number of clusters","4","2","2","4","4"
"If the table includes missing values (.n, .o, .v etc.) see the Missing values section in the help file for the Stata command iebaltab for definitions of these values. Covariate(s) used in pairwise and f-test regressions: [mpg]. Fixed effect used in pairwise and f-test regressions: [foreign]. Significance: ***=.01, **=.05, *=.1. Errors are clustered at variable: [test_cluster_var]. Full user input as written by user: [iebaltab weight price , savecsv(""run/iebaltab/outputs/iebaltab1/iebt-csv12"") savexlsx(""run/iebaltab/outputs/iebaltab1/iebt-xlsx12"") savetex(""run/iebaltab/outputs/iebaltab1/iebt-tex12"") texnotefile(""run/iebaltab/outputs/iebaltab1/iebt-tex12-note"") groupvar(tmt_cl) replace onerow vce(cluster test_cluster_var) ftest feqtest total cov(mpg) fixed(foreign) addnote(""added onerow and cluster"") browse] added onerow and cluster","","","","",""
