""," (1) "," (2) ","(1)-(2)"
"","0","1","Pairwise t-test"
"Variable","Mean/(SE)","Mean/(SE)","P-value"
"mpg","20.258","20.092","0.895"
"","(0.759)","(0.910)",""
"headroom","2.935","2.723","0.273*"
"","(0.155)","(0.119)",""
"trunk","14.097","12.127","0.039**"
"","(0.793)","(0.555)",""
"weight","3084.516","2650.042","0.014**"
"","(117.753)","(118.860)",""
"length","190.323","164.671","0.000***"
"","(3.472)","(3.795)",""
"turn","40.226","34.692","0.000***"
"","(0.664)","(0.739)",""
"price","5961.065","5702.614","0.695"
"","(470.476)","(442.505)",""
"Number of observations","31","43","74"
"If the table includes missing values (.n, .o, .v etc.) see the Missing values section in the help file for the Stata command iebaltab for definitions of these values. Significance: ***=.001, **=.2, *=.4. Full user input as written by user: [iebaltab mpg headroom trunk weight length turn price , savecsv(""run/iebaltab/outputs/iebaltab1/iebt-csv22"") savexlsx(""run/iebaltab/outputs/iebaltab1/iebt-xlsx22"") savetex(""run/iebaltab/outputs/iebaltab1/iebt-tex22"") texnotefile(""run/iebaltab/outputs/iebaltab1/iebt-tex22-note"") groupvar(tmt_cl) replace onerow stats(pair(p)) starlevels(.4 .2 .001)] ","","",""
