"",""," (1) ",""," (2) ",""," (3) ",""," (4) ",""," (5) ","","(3)-(2)","","(4)-(2)","","(5)-(2)"
"","","Total single ' quote","","Quotes, and comma "",""","","Oi in %","","Pizza & Pineapple (USD$)","","10231","","Pairwise t-test","","Pairwise t-test","","Pairwise t-test"
"Variable","N","Mean/(SE)","N","Mean/(SE)","N","Mean/(SE)","N","Mean/(SE)","N","Mean/(SE)","N","Mean difference","N","Mean difference","N","Mean difference"
"Weight (USD$)","74","3019.459","19","3004.211","22","3176.818","21","2758.571","12","3211.667","41","172.608**","40","-245.639","31","207.456"
"","","(90.347)","","(157.068)","","(172.374)","","(191.277)","","(177.127)","","","","","",""
"St*r and sub _script","74","6165.257","19","5858.526","22","7209.182","21","5373.048","12","6123.417","41","1350.656","40","-485.479","31","264.890"
"","","(342.872)","","(605.744)","","(776.498)","","(516.864)","","(777.763)","","","","","",""
"Headroom ""Height"" quote","74","2.993","19","2.895","22","3.114","21","2.952","12","3.000","41","0.219","40","0.058","31","0.105"
"","","(0.098)","","(0.190)","","(0.189)","","(0.176)","","(0.275)","","","","","",""
"If the table includes missing values (.n, .o, .v etc.) see the Missing values section in the help file for the Stata command iebaltab for definitions of these values. Covariate(s) used in pairwise regressions: [mpg]. Fixed effect used in pairwise regressions: [foreign]. Significance: ***=.01, **=.05, *=.1. Full user input as written by user: [iebaltab weight price headroom , savecsv(""run/iebaltab/outputs/iebaltab1/iebt-csv8"") savexlsx(""run/iebaltab/outputs/iebaltab1/iebt-xlsx8"") savetex(""run/iebaltab/outputs/iebaltab1/iebt-tex8"") texnotefile(""run/iebaltab/outputs/iebaltab1/iebt-tex8-note"") groupvar(tmt) replace total control(6) rowvarlabels grouplabels(`""6 Quotes, and comma "","" @ 4 Pizza & Pineapple (USD$) ""') totallabel(""Total single ' quote"") cov(mpg) fixed(foreign) rowlabels(`""price St*r and sub _script @ headroom Headroom ""Height"" quote ""') addnote(""Row column manual ($) lables."")] Row column manual ($) lables.","","","","","","","","","","","","","","","",""
