"",""," (1) ",""," (2) ","","(2)-(1)"
"","","1","","0","","Pairwise t-test"
"Variable","N","Mean/(SE)","N","Mean/(SE)","N","Normalized difference"
"weight","43","2972.558","31","3084.516","74","0.147"
"","","(130.959)","","(117.753)","",""
"price","43","6312.465","31","5961.065","74","-0.120"
"","","(486.238)","","(470.476)","",""
"F-test of joint significance (P-value)","","","","","","0.273"
"F-test, number of observations","","","","","","74"
"If the table includes missing values (.n, .o, .v etc.) see the Missing values section in the help file for the Stata command iebaltab for definitions of these values. Covariate(s) used in pairwise and f-test regressions: [mpg]. Fixed effect used in pairwise and f-test regressions: [foreign]. Significance: ***=.01, **=.05, *=.1. Full user input as written by user: [iebaltab weight price , savecsv(""run/iebaltab/outputs/iebaltab1/iebt-csv13"") savexlsx(""run/iebaltab/outputs/iebaltab1/iebt-xlsx13"") savetex(""run/iebaltab/outputs/iebaltab1/iebt-tex13"") texnotefile(""run/iebaltab/outputs/iebaltab1/iebt-tex13-note"") groupvar(tmt_cl) replace ftest control(1) stats(f(p) pair(nrmd)) cov(mpg) fixed(foreign)] ","","","","","",""
